segment,stockcode,description,total_quantity,total_revenue,total_orders,unique_customers
At Risk,23166,MEDIUM CERAMIC TOP STORAGE JAR,74239,77213.6,3,3
At Risk,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13675,35949.35,669,224
At Risk,M,Manual,308,22283.690000000002,51,39
At Risk,22423,REGENCY CAKESTAND 3 TIER,1405,16632.149999999998,277,151
At Risk,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,6784,14456.100000000002,53,44
At Risk,21915,RED  HARMONICA IN BOX ,10590,11426.42,72,44
At Risk,48185,DOORMAT FAIRY CAKE,1473,9767.03,45,27
At Risk,21175,GIN + TONIC DIET METAL SIGN,5058,9289.65,125,72
At Risk,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,3563,9224.45,65,29
At Risk,84078A,SET/4 WHITE RETRO STORAGE CUBES ,237,8353.150000000001,23,18
Champions,22423,REGENCY CAKESTAND 3 TIER,19565,223157.69999999998,2054,525
Champions,85123A,WHITE HANGING HEART T-LIGHT HOLDER,63814,171458.52,2837,540
Champions,85099B,JUMBO BAG RED RETROSPOT,59381,107068.67,1879,431
Champions,84879,ASSORTED COLOUR BIRD ORNAMENT,62448,98302.56,1637,419
Champions,POST,POSTAGE,3709,85017.8,1154,120
Champions,47566,PARTY BUNTING,16244,70838.48,1289,389
Champions,M,Manual,7923,67716.88,323,191
Champions,79321,CHILLI LIGHTS,13343,61740.14,697,161
Champions,21137,BLACK RECORD COVER FRAME,17067,58324.82,407,109
Champions,82484,WOOD BLACK BOARD ANT WHITE FINISH,9880,53664.29,737,214
Hibernating,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1742,4957.3,221,198
Hibernating,22423,REGENCY CAKESTAND 3 TIER,262,3225.3,101,97
Hibernating,POST,POSTAGE,86,2304.0,48,43
Hibernating,84879,ASSORTED COLOUR BIRD ORNAMENT,1128,1906.32,86,82
Hibernating,15056N,EDWARDIAN PARASOL NATURAL,347,1884.65,48,45
Hibernating,47566,PARTY BUNTING,398,1868.0,67,65
Hibernating,72741,GRAND CHOCOLATECANDLE,1275,1762.3500000000001,68,64
Hibernating,22138,BAKING SET 9 PIECE RETROSPOT ,356,1762.2,106,104
Hibernating,M,Manual,236,1622.21,42,42
Hibernating,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,1426,1600.1000000000001,38,37
Loyal Customers,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9274,25442.24,691,209
Loyal Customers,22423,REGENCY CAKESTAND 3 TIER,2046,24034.6,449,193
Loyal Customers,47566,PARTY BUNTING,3851,17022.25,332,152
Loyal Customers,85099B,JUMBO BAG RED RETROSPOT,8792,15918.2,295,122
Loyal Customers,M,Manual,699,12331.65,101,73
Loyal Customers,84078A,SET/4 WHITE RETRO STORAGE CUBES ,323,11373.85,36,16
Loyal Customers,84879,ASSORTED COLOUR BIRD ORNAMENT,6467,10660.43,334,132
Loyal Customers,15044A,PINK PAPER PARASOL ,3577,9152.15,25,18
Loyal Customers,21621,VINTAGE UNION JACK BUNTING,1025,8712.5,175,96
Loyal Customers,POST,POSTAGE,360,7711.4,158,34
Others,22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,1
Others,M,Manual,329,37856.71,63,55
Others,POST,POSTAGE,559,14724.94,201,119
Others,22423,REGENCY CAKESTAND 3 TIER,1194,14078.7,262,208
Others,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3308,9144.2,286,201
Others,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2189,5912.75,137,117
Others,47566,PARTY BUNTING,1261,5772.25,137,118
Others,85099B,JUMBO BAG RED RETROSPOT,3120,5729.0,124,97
Others,84879,ASSORTED COLOUR BIRD ORNAMENT,3172,5207.08,200,152
Others,22413,METAL SIGN TAKE IT OR LEAVE IT ,1671,4648.65,56,51
Potential Loyalists,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,1
Potential Loyalists,POST,POSTAGE,414,11584.95,146,58
Potential Loyalists,M,Manual,308,10529.43,40,38
Potential Loyalists,23084,RABBIT NIGHT LIGHT,4986,9109.38,138,104
Potential Loyalists,22423,REGENCY CAKESTAND 3 TIER,427,5357.85,174,140
Potential Loyalists,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1925,5326.75,178,136
Potential Loyalists,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1827,5120.85,184,118
Potential Loyalists,84879,ASSORTED COLOUR BIRD ORNAMENT,2821,4639.57,173,117
Potential Loyalists,22457,NATURAL SLATE HEART CHALKBOARD ,1395,3867.25,129,100
Potential Loyalists,22138,BAKING SET 9 PIECE RETROSPOT ,660,3216.6,168,134
